user,member,sex,baby_age,baby_sex
363,3,2,22,1
364,1,2,-99,0
365,2,2,48,1
366,2,0,20,3
367,3,-99,-99,-99
368,3,0,46,2
369,3,0,11,1
370,3,2,48,2
371,5,1,29,1
372,2,2,20,2
373,2,2,8,1
374,3,2,46,1
375,3,2,31,1
376,3,2,24,1
377,3,2,20,1
378,2,2,51,2
379,3,2,29,2
380,3,2,27,1
381,3,2,84,2
382,6,2,25,1
383,3,2,14,2
384,3,2,48,2
385,1,0,56,2
386,3,2,1,1
387,1,-99,-99,-99
388,3,2,43,2
389,3,2,15,2
390,1,2,3,1
391,4,2,34,1
392,3,0,51,2
393,3,2,0,1
394,3,2,46,2
395,1,2,5,1
396,5,2,37,1
397,3,1,57,1
398,3,2,-99,4
399,3,2,25,1
400,5,2,109,2
401,3,1,30,2
402,3,2,30,2
403,2,2,62,1
404,3,2,8,3
405,1,2,91,2
406,3,2,37,2
407,2,2,-99,0
408,4,2,36,2
409,4,2,29,2
410,3,2,1,2
411,3,-99,-99,-99
412,3,2,43,2
413,3,2,22,1
414,2,2,5,2
415,4,2,37,2
416,3,2,35,1
417,4,2,24,2
418,2,2,31,2
419,3,2,9,1
420,2,2,23,1
421,3,2,31,2
422,3,2,43,1
423,3,2,24,2
424,2,2,111,2
425,3,2,2,1
426,3,2,96,2
427,4,2,36,1
428,3,2,58,1
429,6,2,95,1
430,5,2,30,1
431,3,2,35,1
432,2,1,48,1
433,5,1,69,1
434,4,2,31,1
435,5,2,2,1
436,2,2,26,1
437,3,2,33,2
438,5,2,30,2
439,3,1,31,1
440,2,1,-99,0
441,1,2,6,2
442,2,2,-99,0
443,4,1,24,1
444,2,2,22,2
445,1,2,48,2
446,4,0,25,2
447,4,2,28,2
448,1,2,6,1
449,4,2,-99,0
450,2,2,39,2
451,2,2,29,2
452,1,0,27,1
453,3,2,12,1
454,3,2,15,2
455,3,2,9,1
456,3,2,36,2
457,3,2,8,1
458,3,2,91,1
459,5,2,15,1
460,2,0,2,3
461,3,2,82,2
462,3,2,35,2
463,2,2,-99,0
464,3,2,16,1
465,3,2,43,2
466,3,2,47,2
467,3,2,36,2
468,6,2,24,1
469,3,0,11,1
470,3,2,30,2
471,3,1,35,1
472,5,2,149,1
473,2,2,29,1
474,5,2,-99,0
475,3,0,112,2
476,4,2,12,1
477,6,1,28,1
478,3,2,31,1
479,3,2,34,1
480,4,2,83,2
481,3,2,22,2
482,2,2,6,2
483,5,2,33,2
484,1,2,33,2
485,4,2,24,1
486,1,2,53,2
487,2,-99,-99,-99
488,3,2,40,1
489,2,2,24,1
490,4,2,28,2
491,3,1,12,1
492,4,2,18,2
493,2,0,34,2
494,3,-99,-99,-99
495,6,2,76,2
496,4,2,17,3
497,1,2,0,1
498,3,2,37,1
499,2,2,69,1
500,3,2,77,1
501,2,2,41,2
502,3,-99,-99,-99
503,4,2,54,2
504,3,2,25,1
505,2,0,38,2
506,2,1,32,1
507,2,2,17,2
508,3,2,75,2
509,4,2,50,1
510,5,2,96,2
511,3,2,4,2
512,3,2,21,2
513,3,2,23,2
514,4,2,30,2
515,3,2,1,1
516,4,2,65,1
517,2,-99,-99,-99
518,2,2,-3,3
519,3,2,24,1
520,3,2,-99,0
521,2,2,59,2
522,4,2,86,2
523,3,2,1,1
524,1,2,19,1
525,3,2,38,2
526,2,2,20,2
527,3,2,69,1
528,4,2,65,2
529,2,2,10,2
530,2,2,31,1
531,3,2,41,2
532,3,2,82,2
533,3,0,29,2
534,2,2,51,1
535,3,2,24,2
536,4,-99,-99,-99
537,3,2,82,2
538,1,2,3,2
539,4,2,23,1
540,4,2,40,1
541,4,2,12,1
542,2,2,39,2
543,5,2,44,2
544,3,2,5,2
545,3,-99,-99,-99
546,4,0,24,1
547,3,0,81,2
548,3,2,37,2
549,2,2,43,2
550,2,2,4,1
551,1,2,33,1
552,3,2,27,1
553,3,2,19,2
554,3,2,36,1
555,3,2,19,2
556,1,1,7,1
557,2,2,4,1
558,4,2,21,1
559,5,2,18,2
560,3,2,31,2
561,2,2,7,1
562,3,2,25,2
563,3,2,27,1
564,2,2,29,1
565,3,2,29,2
566,3,2,46,2
567,2,2,48,1
568,3,2,43,1
569,6,2,22,1
570,2,2,23,2
571,3,2,1,1
572,3,0,67,2
573,3,0,91,2
574,1,2,65,2
575,5,2,65,1
576,2,-99,-99,-99
577,5,2,24,1
578,2,0,44,2
579,4,2,0,3
580,1,2,75,2
581,3,2,20,2
582,4,2,31,2
583,3,2,27,2
584,1,2,28,2
585,4,1,22,2
586,5,0,112,1
587,3,1,18,2
588,6,2,32,2
589,5,2,23,1
590,3,2,36,1
591,3,2,55,1
592,2,-99,-99,-99
593,3,2,42,2
594,1,2,21,1
595,5,2,37,1
596,4,2,57,2
597,2,1,57,1
598,3,2,15,1
599,4,0,30,2
600,5,2,58,1
601,3,2,62,2
602,4,0,55,2
603,3,2,18,2
604,3,2,83,2
605,3,0,34,1
606,5,2,37,1
607,1,2,8,2
608,4,2,59,1
609,3,2,-99,0
610,1,2,48,2
611,3,2,34,2
612,3,0,69,2
613,4,2,61,1
614,3,2,31,1
615,3,2,62,2
616,1,-99,-99,-99
617,5,2,27,2
618,3,2,21,1
619,3,2,4,1
620,3,2,5,1
621,3,2,1,2
622,3,2,-99,2
623,3,2,28,2
624,2,2,-99,0
625,4,2,23,2
626,6,2,22,2
627,3,2,32,2
628,2,2,-3,3
629,3,2,38,2
630,5,2,13,2
631,5,2,0,1
632,2,1,43,2
633,3,0,47,1
634,1,2,0,1
635,5,2,35,1
636,2,2,21,2
637,4,2,8,2
638,3,2,25,2
639,2,2,49,2
640,3,2,18,2
641,3,2,85,2
642,4,2,31,1
643,4,2,35,1
644,1,2,26,1
645,3,2,16,2
646,4,1,30,1
647,4,2,29,2
648,3,1,47,1
649,3,2,-99,0
650,3,2,49,1
651,3,0,42,2
652,4,2,42,1
653,3,0,34,2
654,1,2,9,1
655,3,2,52,1
656,3,2,17,2
657,4,2,33,2
658,3,0,28,2
659,3,0,33,2
660,4,2,-99,0
661,2,2,3,2
662,3,2,63,1
663,1,2,62,2
664,5,2,24,2
665,4,2,22,1
666,5,2,33,1
667,3,2,12,1
668,2,2,28,1
669,3,2,56,1
670,3,0,-99,0
671,2,2,32,1
672,3,0,24,1
673,3,0,100,1
674,3,1,27,1
675,2,2,4,1
676,6,2,33,2
677,4,2,5,1
678,2,2,21,2
679,5,0,52,2
680,6,2,32,2
681,2,1,37,1
682,3,2,14,2
683,5,2,-99,0
684,3,2,50,2
685,1,2,-99,0
686,3,2,56,2
687,4,2,26,2
688,3,2,33,2
689,3,2,45,2
690,3,2,22,1
691,3,2,3,2
692,2,2,21,1
693,3,2,92,2
694,5,2,12,2
695,3,2,18,2
696,2,0,61,2
697,3,2,49,1
698,3,2,14,2
699,2,2,2,2
700,3,2,33,1
701,3,2,32,2
702,1,0,32,2
703,3,2,57,2
704,3,2,13,2
705,3,0,89,1
706,3,2,41,2
707,3,2,75,2
708,3,2,5,1
709,2,2,0,1
710,1,2,2,1
711,3,2,22,1
712,2,2,2,1
713,3,2,21,1
714,3,2,31,1
715,3,2,22,2
716,2,2,36,2
717,3,2,43,2
718,4,2,34,1
719,4,2,26,2
720,3,2,32,1
721,4,2,34,2
722,4,2,18,1
723,2,2,13,2
724,3,2,60,2
725,2,0,22,2
726,1,2,22,2
727,4,2,16,1
728,5,2,26,1
729,3,1,2,1
730,6,0,49,2
731,2,2,104,2
732,3,2,46,2
733,3,2,-99,0
734,4,1,41,1
735,4,2,69,2
736,3,2,1,1
737,3,2,22,1
738,3,2,34,2
739,3,2,70,2
740,3,2,27,2
741,5,2,26,1
742,3,2,4,1
743,2,2,31,1
744,1,2,6,2
745,3,2,40,2
746,1,2,1,1
747,3,2,43,1
748,5,0,20,2
749,4,2,93,2
750,4,2,21,1
751,3,2,77,1
752,3,2,46,4
753,2,2,56,2
754,2,2,32,2
755,2,0,17,3
756,3,2,23,1
757,2,2,60,2
758,3,2,15,2
759,4,2,70,2
760,3,0,28,2
761,3,2,34,2
762,3,2,21,1
763,5,2,87,1
764,3,2,68,1
765,1,2,23,1
766,3,2,41,1
767,2,2,84,2
768,2,2,7,1
769,2,0,31,2
770,2,2,17,2
771,3,2,97,2
772,2,2,54,2
773,4,2,26,2
774,3,0,95,2
775,4,0,24,1
776,4,0,35,2
777,1,2,6,1
778,3,2,34,2
779,3,0,-99,0
780,2,2,29,1
781,4,2,11,1
782,3,2,33,2
783,2,2,21,1
784,4,2,14,1
785,4,2,27,2
786,2,0,71,1
787,2,2,24,2
788,3,0,56,1
789,4,2,27,1
790,5,2,33,2
791,1,-99,-99,-99
792,1,2,7,2
793,3,2,21,1
794,3,2,23,1
795,2,2,79,1
796,3,1,17,1
797,2,2,-2,3
798,2,2,37,2
799,3,2,4,2
800,3,0,46,2
801,2,2,38,1
802,3,2,48,1
803,3,2,33,2
804,3,2,30,2
805,4,2,15,2
806,1,0,9,2
807,3,2,4,2
808,2,2,0,3
809,3,0,21,2
810,3,2,81,2
811,4,0,31,1
812,3,2,25,1
813,3,2,9,1
814,3,2,63,1
815,5,2,28,2
816,3,2,44,1
817,3,2,13,2
818,3,2,28,1
819,3,2,32,2
820,3,2,21,1
821,4,2,-99,0
822,2,2,19,1
823,3,-99,-99,-99
824,2,2,77,2
825,3,2,26,2
826,6,2,20,2
827,3,2,-99,0
828,2,0,2,1
829,2,2,26,1
830,3,1,28,1
831,5,0,43,2
832,1,2,2,2
833,2,2,64,2
834,3,2,68,1
835,3,2,33,1
836,3,2,84,2
837,2,2,86,1
838,3,2,38,1
839,3,2,14,1
840,3,2,20,2
841,2,2,47,1
842,3,2,26,2
843,3,2,6,2
844,4,0,46,1
845,3,2,34,1
846,3,2,29,1
847,2,-99,-99,-99
848,3,2,61,2
849,2,2,33,2
850,3,2,30,1
851,3,1,54,1
852,3,2,91,2
853,5,2,14,2
854,3,2,9,2
855,5,2,31,1
856,4,2,43,2
857,2,2,17,1
858,5,0,28,2
859,3,2,23,2
860,3,2,53,1
861,3,2,55,1
862,2,2,21,2
863,4,2,21,2
864,4,2,36,1
865,3,0,80,1
866,3,2,18,1
867,2,2,1,1
868,3,1,26,1
869,3,2,25,1
870,4,1,-99,0
871,3,0,-99,0
872,3,2,39,2
873,4,2,27,1
874,3,2,38,2
875,4,2,24,2
876,3,2,25,2
877,3,2,78,1
878,3,2,6,1
879,2,2,30,2
880,4,2,34,2
881,3,0,45,2
882,1,2,45,1
883,3,2,80,2
884,2,2,45,1
885,2,2,36,1
886,3,1,-99,0
887,4,2,10,2
888,3,2,21,2
889,5,1,15,2
890,3,1,32,1
891,1,2,8,2
892,2,2,40,2
893,3,2,28,2
894,4,2,-99,2
895,3,2,40,1
896,4,2,16,2
897,5,2,28,1
898,3,2,59,1
899,5,2,26,2
900,5,2,-99,0
901,4,0,-99,2
902,3,0,3,2
903,3,2,23,2
904,3,2,32,1
905,3,2,1,1
906,3,2,11,1
907,5,0,51,2
908,2,2,16,1
909,4,2,94,2
910,4,2,20,2
911,3,2,13,1
912,4,0,30,2
913,4,2,76,2
914,1,2,33,2
915,2,2,-5,3
916,3,2,104,2
917,1,0,23,2
918,4,2,14,2
919,3,2,37,1
920,5,1,29,1
921,2,2,39,2
922,2,2,40,2
923,3,2,24,1
924,3,2,71,2
925,5,2,19,1
926,3,2,37,1
927,3,1,20,1
928,4,1,9,1
929,3,2,24,2
930,5,0,94,2
931,3,2,51,2
932,3,2,20,2
933,3,2,41,2
934,1,2,19,1
935,3,2,19,2
936,3,2,-99,0
937,3,2,19,1
938,3,2,25,1
939,3,2,41,2
940,3,2,34,2
941,3,0,-99,0
942,3,2,44,1
943,3,2,49,2
944,2,2,17,2
945,3,0,25,1
946,3,2,48,2
947,1,2,-99,0
948,3,2,53,1
949,3,2,21,1
950,5,2,38,2
951,3,2,22,2
952,3,2,21,1
953,3,2,30,2
954,3,2,58,1
955,4,0,35,2
956,2,1,24,2
957,3,2,33,2
958,3,2,16,2
959,3,2,58,2
960,3,0,28,1
961,1,2,36,1
962,2,2,65,2
963,2,2,46,2
964,3,2,48,1
965,3,2,23,1
966,3,2,54,1
967,3,0,32,2
968,4,0,-99,0
969,3,-99,-99,-99
970,5,2,34,2
971,3,-99,-99,-99
972,3,2,10,2
973,6,2,56,1
974,3,2,23,2
975,2,2,55,1
976,3,2,45,2
977,2,2,56,2
978,3,2,28,2
979,3,2,27,1
980,4,2,44,2
981,2,2,0,1
982,3,2,48,2
983,3,2,46,2
984,3,0,10,1
985,2,2,59,2
986,3,2,53,1
987,3,2,18,1
988,3,2,38,2
989,3,2,19,2
990,3,2,65,1
991,3,2,34,2
992,3,2,29,1
993,3,2,80,1
994,3,2,24,2
995,3,0,6,1
996,3,0,22,1
997,2,2,58,2
998,3,2,49,1
999,2,2,75,2
1000,3,2,-99,0
1001,4,2,9,2
1002,1,2,0,1
1003,3,2,26,2
1004,2,2,21,1
1005,3,2,-99,0
1006,1,2,8,2
1007,3,2,36,1
1008,3,0,25,2
1009,4,2,68,2
1010,3,-99,-99,-99
1011,3,2,36,2
1012,3,2,33,2
1013,3,0,8,2
1014,4,1,21,1
1015,2,2,11,2
1016,3,2,6,2
1017,4,2,-99,0
1018,4,2,54,2
1019,4,2,8,2
1020,2,2,42,2
1021,3,0,46,1
1022,3,1,90,2
1023,3,2,69,1
1024,5,2,35,1
1025,3,2,52,1
1026,2,2,25,2
1027,3,2,2,2
1028,2,2,13,2
1029,3,2,3,1
1030,3,2,29,1
1031,2,2,2,1
1032,3,2,25,2
1033,4,2,24,2
1034,3,2,17,1
1035,3,2,18,1
1036,2,2,2,2
1037,3,1,52,1
1038,3,2,41,2
1039,2,2,44,2
1040,2,2,2,1
1041,5,2,21,1
1042,2,2,4,2
1043,3,1,10,2
1044,3,2,46,2
1045,3,0,21,1
1046,3,2,48,1
1047,2,1,14,1
1048,3,2,34,2
1049,3,2,56,2
1050,3,2,38,1
1051,4,2,24,1
1052,4,2,21,1
1053,3,2,24,4
1054,2,2,26,2
1055,4,2,84,2
1056,3,0,9,3
1057,2,2,0,2
1058,3,2,57,2
1059,4,0,90,2
1060,3,2,52,2
1061,6,2,59,1
1062,3,2,59,1
1063,2,2,60,2
1064,3,2,19,1
1065,3,2,40,1
1066,3,0,89,2
1067,5,2,122,2
1068,2,2,60,1
1069,4,2,26,1
1070,2,2,11,2
1071,3,2,22,1
1072,5,2,33,2
1073,3,0,45,2
1074,2,2,-1,3
1075,3,2,39,1
1076,5,2,28,2
1077,3,2,94,2
1078,3,0,46,1
1079,3,0,-99,2
1080,3,2,-99,0
1081,1,2,1,2
1082,3,2,27,2
1083,5,-99,-99,-99
1084,3,2,25,1
1085,3,2,-99,0
1086,2,2,6,2
1087,2,2,71,2
1088,3,2,58,1
1089,3,2,34,2
1090,3,2,21,2
1091,4,2,15,1
1092,3,2,42,2
1093,3,2,101,2
1094,3,2,19,1
1095,3,2,26,2
1096,4,2,23,1
1097,1,2,109,2
1098,2,0,22,2
1099,4,2,48,2
1100,3,2,32,4
1101,3,2,18,1
1102,1,2,65,1
1103,3,0,41,2
1104,2,2,79,2
1105,3,2,57,2
1106,2,1,24,1
1107,3,2,3,1
1108,1,2,27,1
1109,4,2,43,2
1110,3,2,39,2
1111,6,2,34,1
1112,5,2,72,2
1113,3,2,38,2
1114,4,-99,-99,-99
1115,3,2,9,1
1116,3,2,38,2
1117,3,2,36,1
1118,4,2,22,2
1119,3,-99,-99,-99
1120,3,2,20,2
1121,3,2,0,2
1122,2,2,59,2
1123,4,2,25,2
1124,2,2,33,1
1125,4,2,188,2
1126,4,-99,-99,-99
1127,4,2,28,1
1128,3,2,23,2
1129,3,2,92,1
1130,2,2,24,2
1131,3,2,37,1
1132,4,2,61,2
1133,3,2,71,1
1134,3,2,79,2
1135,3,1,35,2
1136,3,2,23,1
1137,3,1,-99,0
1138,3,2,19,1
1139,3,2,37,2
1140,3,1,73,1
1141,3,2,31,1
1142,2,1,60,1
1143,5,0,4,1
1144,3,2,31,2
1145,3,2,90,2
1146,2,2,10,2
1147,1,2,65,1
1148,2,2,29,1
1149,4,2,43,1
1150,3,2,11,2
1151,1,2,34,2
1152,3,2,22,2
1153,2,2,21,2
1154,3,2,24,2
1155,2,2,5,1
1156,2,2,30,2
1157,3,2,96,2
1158,2,2,120,2
1159,3,2,36,1
1160,2,2,27,1
1161,1,2,123,1
1162,3,2,24,2
1163,1,2,12,1
1164,3,2,68,2
1165,3,2,7,2
1166,3,2,60,2
1167,1,2,17,1
1168,3,1,22,1
1169,5,1,26,1
1170,2,2,48,2
1171,1,2,0,1
1172,3,0,48,2
1173,3,1,38,1
1174,3,2,35,2
1175,2,2,11,3
1176,3,1,38,2
1177,4,2,18,3
1178,3,2,37,1
1179,5,2,15,2
1180,4,2,16,2
1181,2,0,17,2
1182,3,0,83,1
1183,3,0,110,1
1184,3,2,31,1
1185,3,2,23,2
1186,1,2,67,2
1187,3,1,17,1
1188,2,2,26,2
1189,3,2,48,2
1190,3,2,-99,0
1191,3,2,3,1
1192,2,-99,-99,-99
1193,2,0,88,1
1194,4,2,-99,2
1195,3,0,-1,3
1196,2,2,30,1
1197,3,2,18,1
1198,2,1,84,1
1199,2,2,34,1
1200,2,2,19,1
1201,3,2,75,1
1202,2,2,1,1
1203,4,2,40,2
1204,3,0,21,1
1205,3,2,25,1
1206,1,2,-99,0
1207,2,2,114,2
1208,2,2,14,1
1209,3,2,32,1
1210,3,2,3,1
1211,3,2,29,2
1212,3,2,25,2
1213,2,1,-99,0
1214,3,2,-99,0
1215,3,2,20,1
1216,2,2,71,1
1217,3,2,28,2
1218,3,2,40,2
1219,3,2,62,2
1220,3,2,25,2
1221,3,2,26,2
1222,3,0,30,2
1223,3,2,1,2
1224,3,2,24,1
1225,4,2,24,2
1226,1,-99,-99,-99
1227,3,2,27,1
1228,3,2,67,2
1229,3,2,21,2
1230,3,2,138,2
1231,3,2,34,1
1232,5,2,21,2
1233,3,2,15,1
1234,4,2,24,1
1235,1,2,9,2
1236,3,0,57,1
1237,1,2,56,2
1238,3,2,54,2
1239,3,2,25,1
1240,3,2,25,2
1241,3,0,35,2
1242,2,-99,-99,-99
1243,1,2,26,2
1244,5,2,15,2
1245,4,2,23,1
1246,2,2,0,3
1247,3,2,44,1
1248,2,2,11,2
1249,3,2,21,2
1250,3,2,9,1
1251,3,2,11,2
1252,3,2,8,1
1253,3,2,0,1
1254,3,2,29,1
1255,1,2,58,2
1256,3,2,-99,0
1257,3,2,10,3
1258,3,0,34,1
1259,4,2,66,2
1260,3,2,28,2
1261,3,0,35,1
1262,3,2,77,2
1263,3,0,48,2
1264,3,2,-99,0
1265,4,2,10,1
1266,3,2,40,2
1267,3,2,-99,0
1268,3,0,23,2
1269,3,2,-99,0
1270,3,1,36,1
1271,3,2,1,2
1272,2,2,17,2
1273,3,2,10,1
1274,3,2,24,1
1275,4,2,97,2
1276,4,0,59,1
1277,3,2,6,1
1278,2,2,29,1
1279,2,2,15,1
1280,3,2,56,1
1281,3,2,28,2
1282,3,2,23,1
1283,2,2,26,1
1284,3,0,84,2
1285,3,2,91,2
1286,3,2,3,1
1287,5,0,39,2
1288,3,2,7,1
1289,3,1,17,1
1290,2,2,18,1
1291,3,2,9,2
1292,3,2,46,2
1293,3,2,8,1
1294,4,2,25,1
1295,3,2,62,2
1296,3,0,24,2
1297,3,2,67,2
1298,3,2,21,2
1299,3,-99,-99,-99
1300,3,2,17,1
1301,3,2,13,2
1302,3,2,6,2
1303,3,2,12,3
1304,4,0,24,2
1305,2,2,22,2
1306,3,1,40,1
1307,1,2,94,1
1308,2,0,6,1
1309,3,2,20,2
1310,4,2,40,2
1311,3,2,45,1
1312,2,2,62,2
1313,2,2,9,2
1314,3,2,30,2
1315,3,2,27,2
1316,3,2,22,2
1317,4,2,58,2
1318,2,2,8,2
1319,3,1,22,1
1320,2,0,20,2
1321,3,2,51,2
1322,3,2,73,1
1323,2,2,-99,1
1324,3,2,15,3
1325,3,1,40,1
1326,3,2,13,2
1327,4,0,145,1
1328,3,0,47,1
1329,3,2,77,2
1330,3,2,0,2
1331,1,2,2,1
1332,3,2,21,2
1333,3,1,14,1
1334,3,2,5,2
1335,4,2,46,2
1336,2,2,-99,0
1337,3,2,27,2
1338,3,2,21,2
1339,3,2,46,2
1340,2,2,39,1
1341,1,2,42,2
1342,2,0,18,1
1343,3,2,35,1
1344,3,2,20,2
